epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.032,1.89327,3.1403,1.61133,0.32591,0.35612,0.28658,0.13343,1.83365,2.36961,1.59887,0.00333027,0.00333027,0.00333027
2,460.655,1.83651,2.28279,1.57413,0.30924,0.41189,0.29095,0.13334,1.89634,1.98905,1.71595,0.00653166,0.00653166,0.00653166
3,666.413,1.9326,2.19727,1.66975,0.38872,0.34294,0.3024,0.13996,1.99208,2.09018,1.79817,0.00960106,0.00960106,0.00960106
4,870.602,1.9579,2.16937,1.71389,0.38354,0.40831,0.32854,0.16165,1.95904,2.0188,1.79463,0.009406,0.009406,0.009406
5,1075.97,1.89114,2.0353,1.68745,0.4344,0.4918,0.39292,0.19715,1.82072,1.76896,1.72268,0.009208,0.009208,0.009208
6,1280.24,1.84143,1.93174,1.65731,0.49136,0.49526,0.44557,0.23326,1.80186,1.71766,1.69844,0.00901,0.00901,0.00901
7,1484.52,1.79992,1.86101,1.64052,0.51946,0.51868,0.4884,0.26619,1.72018,1.63042,1.63569,0.008812,0.008812,0.008812
8,1710.81,1.75866,1.81283,1.60757,0.54625,0.51607,0.52392,0.28534,1.72408,1.56675,1.64415,0.008614,0.008614,0.008614
9,1923.82,1.7336,1.75923,1.58859,0.56394,0.50761,0.52464,0.30431,1.65508,1.58117,1.6057,0.008416,0.008416,0.008416
10,2129.8,1.71393,1.71934,1.57634,0.53153,0.55795,0.55251,0.32458,1.67726,1.48106,1.60671,0.008218,0.008218,0.008218
11,2337.06,1.69507,1.68347,1.55823,0.59577,0.55201,0.57458,0.33262,1.62967,1.44238,1.57855,0.00802,0.00802,0.00802
12,2556.81,1.67411,1.64349,1.54297,0.58907,0.5871,0.59182,0.34618,1.61715,1.40153,1.5463,0.007822,0.007822,0.007822
13,2779.2,1.6562,1.61913,1.52291,0.61188,0.5745,0.60848,0.35687,1.59891,1.38876,1.54391,0.007624,0.007624,0.007624
14,2991.29,1.64053,1.58655,1.51209,0.6176,0.60699,0.61662,0.36934,1.57603,1.35388,1.51783,0.007426,0.007426,0.007426
15,3215.5,1.62619,1.56733,1.50352,0.63164,0.63122,0.63945,0.38849,1.5698,1.33293,1.51359,0.007228,0.007228,0.007228
16,3435.5,1.61007,1.53828,1.4866,0.59726,0.67502,0.65583,0.40645,1.56074,1.32453,1.50029,0.00703,0.00703,0.00703
17,3653.36,1.59639,1.5076,1.47614,0.64175,0.64365,0.66616,0.41111,1.54595,1.28236,1.49142,0.006832,0.006832,0.006832
18,3856.03,1.58415,1.49639,1.46781,0.68576,0.64318,0.69667,0.43948,1.51308,1.27036,1.46302,0.006634,0.006634,0.006634
